MEDICATION_NM,ingredient,concept_id
NALOXONE 4 MG/250 ML D5W INFUSION - HIGH CONCENTRATION (UCI),ml d,
NALOXONE 4 MG/250 ML D5W INFUSION - HIGH CONCENTRATION (UCI),infusion,
NALOXONE 4 MG/250 ML D5W INFUSION - HIGH CONCENTRATION (UCI),high concentration,
CLINDAMYCIN PALMITATE HCL 75 MG/5ML OR SOLR,clindamycin palmitate hcl,997881
CLINDAMYCIN PALMITATE HCL 75 MG/5ML OR SOLR,or solr,
ETHACRYNIC ACID 25 MG OR TABS,ethacrynic acid,
INV TIRAPAZAMINE INJECTION (LT-006) (UCI),inv tirapazamine injection,
INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN,insulin lispro,1550023
INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN,unit,
"CEFAZOLIN 1,000 MG IN 50 ML NS SOLUTION (OPTIME)",cefazolin,1771162
"CEFAZOLIN 1,000 MG IN 50 ML NS SOLUTION (OPTIME)",ml ns solution,
DEXTROSE 10% IV BOLUS (UCI),dextrose,
DEXTROSE 10% IV BOLUS (UCI),iv bolus,
DOXORUBICIN LIPOSOMAL CHEMO INFUSION (UCI),doxorubicin liposomal chemo infusion,1338512
TIROFIBAN 12.5 MG/250ML PREMIX INFUSION (UCI),tirofiban,19017067
TIROFIBAN 12.5 MG/250ML PREMIX INFUSION (UCI),premix infusion,
CEFTRIAXONE IV 2 GM IN NS,ceftriaxone iv,1777806
CEFTRIAXONE IV 2 GM IN NS,gm in ns,
CLINDAMYCIN PHOSPHATE 1 % EX LOTN,clindamycin phosphate,997881
CLINDAMYCIN PHOSPHATE 1 % EX LOTN,ex lotn,
LITHIUM CARBONATE 300 MG OR TBCR,lithium carbonate,751246
LITHIUM CARBONATE 300 MG OR TBCR,mg or tbcr,
ETHACRYNIC ACID IVPB (UCI),ethacrynic acid ivpb,
INSULIN ASPART 100 UNIT/ML SC SOLN,insulin aspart,35198096
INSULIN ASPART 100 UNIT/ML SC SOLN,unit,
ASPIRIN 81 MG OR TABS,aspirin,1112807
NEOMYCIN-POLYMYXIN-HC 1 % OT SOLN,neomycin,915981
NEOMYCIN-POLYMYXIN-HC 1 % OT SOLN,polymyxin,
NEOMYCIN-POLYMYXIN-HC 1 % OT SOLN,hc,
NEOMYCIN-POLYMYXIN-HC 1 % OT SOLN,ot soln,
ACETIC ACID 2 % OT SOLN,acetic acid,929549
ACETIC ACID 2 % OT SOLN,ot soln,
INV MARIZOMIB VIA NG TUBE (MRZ-108) (UCI),inv marizomib via ng tube,
PROCEDURAL SEDATION ETOMIDATE 20 MG/10 ML (UCI),procedural sedation etomidate,
ERYTHROMYCIN NEONATAL 5 MG/ML INJECTION (UCI),erythromycin neonatal,1746940
ERYTHROMYCIN NEONATAL 5 MG/ML INJECTION (UCI),ml injection,
DILTIAZEM HCL 15 MG OR TABS (HALF TABLET),diltiazem hcl,1328165
PYRIDOSTIGMINE BROMIDE 60 MG/5ML OR SYRP,pyridostigmine bromide,759740
PYRIDOSTIGMINE BROMIDE 60 MG/5ML OR SYRP,or syrp,
FOLIC ACID 800 MCG OR TABS,folic acid,19111620
TRIPLE ANTIBIOTIC 5-400-5000 EX OINT,triple antibiotic,
TRIPLE ANTIBIOTIC 5-400-5000 EX OINT,ex oint,
PHENOBARBITAL IVPB > 1000 MG (UCI),phenobarbital ivpb,734275
BEVACIZUMAB CHEMO INFUSION (UCI),bevacizumab chemo infusion,1397141
FLUCYTOSINE 250 MG OR CAPS,flucytosine,1755112
FLUCYTOSINE 250 MG OR CAPS,mg or caps,
PAMIDRONATE IVPB (VARIABLE DOSE) (UCI),pamidronate ivpb,1511646
prochlorperazine (COMPAZINE) 5 MG/ML injection  - ADS OVERRIDE,prochlorperazine,752061
prochlorperazine (COMPAZINE) 5 MG/ML injection  - ADS OVERRIDE,ml injection,
PROPAFENONE HCL 150 MG OR TABS,propafenone hcl,1353256
ROPIVACAINE REGIONAL ANESTHESIA 0.1% IN 100 ML PAIN MANAGEMENT CONT PNB PCA (UCI),ropivacaine regional anesthesia,1136487
ROPIVACAINE REGIONAL ANESTHESIA 0.1% IN 100 ML PAIN MANAGEMENT CONT PNB PCA (UCI),ml pain management cont pnb pca,
OXCARBAZEPINE ER 600 MG PO TB24,oxcarbazepine er,718122
OXCARBAZEPINE ER 600 MG PO TB24,mg po tb,
PHENOBARBITAL IVPB </= 1000 MG (UCI),phenobarbital ivpb,734275
SULFAMETHOXAZOLE-TRIMETHOPRIM (IN D5W 150 ML) IVPB (UCI),sulfamethoxazole,1836430
SULFAMETHOXAZOLE-TRIMETHOPRIM (IN D5W 150 ML) IVPB (UCI),trimethoprim,1705674
SULFAMETHOXAZOLE-TRIMETHOPRIM (IN D5W 150 ML) IVPB (UCI),ivpb,
BARIUM SULFATE 98 % OR SUSR,barium sulfate,19011331
BARIUM SULFATE 98 % OR SUSR,or susr,
ROPINIROLE HCL 4 MG OR TABS,ropinirole hcl,713823
EPOETIN ALFA 3000 UNIT/ML IJ SOLN,epoetin alfa,1301125
EPOETIN ALFA 3000 UNIT/ML IJ SOLN,unit,
RIFAMPIN 150 MG OR CAPS,rifampin,1763204
RIFAMPIN 150 MG OR CAPS,mg or caps,
VASOPRESSIN 20 UNITS IN NS 50 ML (OPTIME),vasopressin,
VASOPRESSIN 20 UNITS IN NS 50 ML (OPTIME),units in ns,
PHENYTOIN 125 MG/5ML OR SUSP,phenytoin,740910
PHENYTOIN 125 MG/5ML OR SUSP,or susp,
BENZOYL PEROXIDE 5 % EX GEL,benzoyl peroxide,918172
oxyCODONE (ROXICODONE) 5 MG tablet  - ADS OVERRIDE,oxycodone,1124957
oxyCODONE (ROXICODONE) 5 MG tablet  - ADS OVERRIDE,mg tablet,
CALAMINE 8-8 % EX LOTN,calamine,902616
CALAMINE 8-8 % EX LOTN,ex lotn,
PYRIDOSTIGMINE BROMIDE 180 MG OR TBCR,pyridostigmine bromide,759740
PYRIDOSTIGMINE BROMIDE 180 MG OR TBCR,mg or tbcr,
phenazopyridine (PYRIDIUM) 100 MG tablet  - ADS OVERRIDE,phenazopyridine,933724
phenazopyridine (PYRIDIUM) 100 MG tablet  - ADS OVERRIDE,mg tablet,
TICAGRELOR 60 MG PO TABS,ticagrelor,40241186
"MEPILEX FOAM 8X8"" EX PADS (UCI)""",mepilex foam,
"MEPILEX FOAM 8X8"" EX PADS (UCI)""",ex pads,
LAMOTRIGINE ER 200 MG PO TB24,lamotrigine er,705103
LAMOTRIGINE ER 200 MG PO TB24,mg po tb,
TICAGRELOR 45 MG OR TABS (HALF TABLET),ticagrelor,40241186
cefoTEtan (CEFOTAN) 2 g injection  - ADS OVERRIDE,cefotetan,1774932
cefoTEtan (CEFOTAN) 2 g injection  - ADS OVERRIDE,g injection,
ARIPIPRAZOLE 15 MG OR TABS,aripiprazole,757688
HEPARIN SODIUM (PORCINE) 10000 UNIT/10ML IV SOSY,heparin sodium,35884360
HEPARIN SODIUM (PORCINE) 10000 UNIT/10ML IV SOSY,unit,
TESTOSTERONE 12.5 MG/ACT (1%) TD GEL,testosterone,1636780
TESTOSTERONE 12.5 MG/ACT (1%) TD GEL,act,
TESTOSTERONE 12.5 MG/ACT (1%) TD GEL,td gel,
LEUCOVORIN CALCIUM 350 MG IJ SOLR,leucovorin calcium,1388796
AKWA TEARS 2-15-83 % OP OINT,akwa tears,
AKWA TEARS 2-15-83 % OP OINT,op oint,
NALOXONE 2 MG/500 ML D5W INFUSION (UCI),naloxone,1114220
NALOXONE 2 MG/500 ML D5W INFUSION (UCI),ml d,
NALOXONE 2 MG/500 ML D5W INFUSION (UCI),infusion,
FLUOROURACIL CONTINUOUS INPT CHEMO INFUSION (UCI),fluorouracil continuous inpt chemo infusion,955632
DEXAMETHASONE 0.5 MG OR TABS,dexamethasone,1518254
PROPRANOLOL HCL CR 60 MG OR CP24,propranolol hcl cr,1353766
PROPRANOLOL HCL CR 60 MG OR CP24,mg or cp,
NALOXONE HCL 2 MG/2ML IJ SOSY,naloxone hcl,1114220
NALOXONE HCL 2 MG/2ML IJ SOSY,ij sosy,
RASBURICASE IVPB,rasburicase ivpb,1304565
RILPIVIRINE HCL 25 MG PO TABS,rilpivirine hcl,40238930
OXALIPLATIN CHEMO INFUSION (UCI),oxaliplatin chemo infusion,1318011
THALLOUS CHLORIDE TL 201 2 MCI/ML IV SOLN,thallous chloride tl,
THALLOUS CHLORIDE TL 201 2 MCI/ML IV SOLN,mci,36856087
THALLOUS CHLORIDE TL 201 2 MCI/ML IV SOLN,ml iv soln,
TRIAMCINOLONE ACETONIDE 0.025 % EX OINT,triamcinolone acetonide,903963
TRIAMCINOLONE ACETONIDE 0.025 % EX OINT,ex oint,
FERRIC GLUCONATE IVPB,ferric gluconate ivpb,
FUROSEMIDE IVPB 80 MG (UCI),furosemide ivpb,956874
DEXAMETHASONE SODIUM PHOSPHATE 0.1 % OP SOLN,dexamethasone sodium phosphate,1518254
DEXAMETHASONE SODIUM PHOSPHATE 0.1 % OP SOLN,op soln,
DAKINS 0.4-0.5 % EX SOLN,dakins,
DAKINS 0.4-0.5 % EX SOLN,ex soln,
NIACIN 50 MG OR TABS,niacin,1517824
TOBRAMYCIN-DEXAMETHASONE 0.3-0.1 % OP OINT,tobramycin,902722
TOBRAMYCIN-DEXAMETHASONE 0.3-0.1 % OP OINT,dexamethasone,1518254
TOBRAMYCIN-DEXAMETHASONE 0.3-0.1 % OP OINT,op oint,
NEOMYCIN-POLYMYXIN-DEXAMETH 3.5-10000-0.1 OP SUSP,neomycin,915981
NEOMYCIN-POLYMYXIN-DEXAMETH 3.5-10000-0.1 OP SUSP,polymyxin,
NEOMYCIN-POLYMYXIN-DEXAMETH 3.5-10000-0.1 OP SUSP,dexameth,
NEOMYCIN-POLYMYXIN-DEXAMETH 3.5-10000-0.1 OP SUSP,op susp,
TRIMETHOBENZAMIDE HCL 100 MG/ML IM SOLN,trimethobenzamide hcl,942799
TRIMETHOBENZAMIDE HCL 100 MG/ML IM SOLN,ml im soln,
TOBRAMYCIN SULFATE 0.3 % OP OINT,tobramycin sulfate,902722
TOBRAMYCIN SULFATE 0.3 % OP OINT,op oint,
DIANEAL WITH ADDITIVES PD SOLUTION (UCI),dianeal with additives pd solution,
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG OR CP24,amphetamine,714785
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG OR CP24,dextroamphetamine,719311
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG OR CP24,mg or cp,
MUPIROCIN POWD,mupirocin powd,951511
"BUPIVACAINE 0.5% AND LIDOCAINE 1%-EPI 1:100,000 AND SODIUM BICARB (OPTIME)",bupivacaine,732893
"BUPIVACAINE 0.5% AND LIDOCAINE 1%-EPI 1:100,000 AND SODIUM BICARB (OPTIME)",and lidocaine,
"BUPIVACAINE 0.5% AND LIDOCAINE 1%-EPI 1:100,000 AND SODIUM BICARB (OPTIME)",epi,
"BUPIVACAINE 0.5% AND LIDOCAINE 1%-EPI 1:100,000 AND SODIUM BICARB (OPTIME)",and sodium bicarb,
LAMIVUDINE 150 MG OR TABS,lamivudine,1704183
ABACAVIR-DOLUTEGRAVIR-LAMIVUD 600-50-300 MG PO TABS,abacavir,1736971
ABACAVIR-DOLUTEGRAVIR-LAMIVUD 600-50-300 MG PO TABS,dolutegravir,43560385
ABACAVIR-DOLUTEGRAVIR-LAMIVUD 600-50-300 MG PO TABS,lamivud,
DIMETHYL FUMARATE 240 MG PO CPDR,dimethyl fumarate,43526424
DIMETHYL FUMARATE 240 MG PO CPDR,mg po cpdr,
DEXAMETHASONE 0.1 % OP SUSP,dexamethasone,1518254
DEXAMETHASONE 0.1 % OP SUSP,op susp,
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,adenosine,1309204
ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,ml iv soln,
ACARBOSE 25 MG OR TABS,acarbose,1529331
NORETHIN ACE-ETH ESTRAD-FE 1.5-30 MG-MCG OR TABS,norethin ace,
NORETHIN ACE-ETH ESTRAD-FE 1.5-30 MG-MCG OR TABS,eth estrad,
NORETHIN ACE-ETH ESTRAD-FE 1.5-30 MG-MCG OR TABS,fe,
NORETHIN ACE-ETH ESTRAD-FE 1.5-30 MG-MCG OR TABS,mg,
NORETHIN ACE-ETH ESTRAD-FE 1.5-30 MG-MCG OR TABS,mcg or tabs,
LORATADINE 5 MG/5ML OR SYRP,loratadine,1107830
LORATADINE 5 MG/5ML OR SYRP,or syrp,
PROMETHAZINE HCL 25 MG RE SUPP,promethazine hcl,1153013
POLYETHYLENE GLYCOL 3350 OR POWD,polyethylene glycol,
POLYETHYLENE GLYCOL 3350 OR POWD,or powd,
CLOMIPHENE CITRATE 50 MG OR TABS,clomiphene citrate,1598819
TOBRAMYCIN-DEXAMETHASONE OPHTHALMIC IRRIGATION (OPTIME),tobramycin,902722
TOBRAMYCIN-DEXAMETHASONE OPHTHALMIC IRRIGATION (OPTIME),dexamethasone ophthalmic irrigation,1518254
ESMOLOL LOADING DOSE FROM BAG (UCI),esmolol loading dose from bag,19063575
SODIUM CHLORIDE 0.9% JOINT INJECTION SOLN (OPTIME),sodium chloride,967823
SODIUM CHLORIDE 0.9% JOINT INJECTION SOLN (OPTIME),joint injection soln,
FIXODENT ORIGINAL CREA,fixodent original crea,
BLEOMYCIN SULFATE 30 UNIT IJ SOLR,bleomycin sulfate,1329241
BLEOMYCIN SULFATE 30 UNIT IJ SOLR,unit ij solr,
SODIUM TETRADECYL SULFATE 1 % IV SOLN,sodium tetradecyl sulfate,19070012
PHENOBARBITAL 100 MG OR TABS,phenobarbital,734275
PHENOBARBITAL 20 MG/5ML OR ELIX,phenobarbital,734275
PHENOBARBITAL 20 MG/5ML OR ELIX,or elix,
PHENOBARBITAL 20 MG/5ML PO SOLN,phenobarbital,734275
PHENOBARBITAL 20 MG/5ML PO SOLN,po soln,
"AMINOCAPROIC ACID 10 G IN 1,000 ML NS IRRIGATION (OPTIME)",aminocaproic acid,
"AMINOCAPROIC ACID 10 G IN 1,000 ML NS IRRIGATION (OPTIME)",g in,
"AMINOCAPROIC ACID 10 G IN 1,000 ML NS IRRIGATION (OPTIME)",ml ns irrigation,
ALOE VERA 99 % EX GEL,aloe vera,
phenylephrine (NEO-SYNEPHRINE) 2.5 % ophthalmic solution  - ADS OVERRIDE,phenylephrine,1135766
phenylephrine (NEO-SYNEPHRINE) 2.5 % ophthalmic solution  - ADS OVERRIDE,ophthalmic solution,
PANCRELIPASE (LIP-PROT-AMYL) 24000-76000 UNITS PO CPEP,pancrelipase,990340
PANCRELIPASE (LIP-PROT-AMYL) 24000-76000 UNITS PO CPEP,units po cpep,
METRONIDAZOLE 250 MG OR TABS,metronidazole,1707164
RISPERIDONE 0.25 MG OR TABS,risperidone,735979
VITAMIN D 1000 UNIT OR TABS,unit or tabs,
APALUTAMIDE 60 MG PO TABS,apalutamide,963987
ELVITEG-COBIC-EMTRICIT-TENOFDF 150-150-200-300 MG PO TABS,elviteg,
ELVITEG-COBIC-EMTRICIT-TENOFDF 150-150-200-300 MG PO TABS,cobic,
ELVITEG-COBIC-EMTRICIT-TENOFDF 150-150-200-300 MG PO TABS,emtricit,
ELVITEG-COBIC-EMTRICIT-TENOFDF 150-150-200-300 MG PO TABS,tenofdf,
PHENOBARBITAL 15 MG OR TABS,phenobarbital,734275
VITAMIN D3 2000 UNITS PO TABS,units po tabs,
OLANZAPINE 20 MG OR TABS,olanzapine,785788
VANCOMYCIN-HEPARIN CATHETER LOCK SOLUTION (UCI),vancomycin,1707687
VANCOMYCIN-HEPARIN CATHETER LOCK SOLUTION (UCI),heparin catheter lock solution,1367571
CANAGLIFLOZIN 100 MG PO TABS,canagliflozin,43526465
SIROLIMUS 1 MG/ML OR SOLN,sirolimus,19034726
SIROLIMUS 1 MG/ML OR SOLN,ml or soln,
FLUOCINONIDE 0.05 % EX OINT,fluocinonide,955252
FLUOCINONIDE 0.05 % EX OINT,ex oint,
MEPERIDINE HCL 100 MG/2ML IJ SOLN,meperidine hcl,1102527
DOXYCYCLINE HYCLATE 100 MG OR TABS,doxycycline hyclate,1738521
DEXTROMETHORPHAN-QUINIDINE 20-10 MG PO CAPS,dextromethorphan,1119510
DEXTROMETHORPHAN-QUINIDINE 20-10 MG PO CAPS,quinidine,1360421
DEXTROMETHORPHAN-QUINIDINE 20-10 MG PO CAPS,mg po caps,
INDOMETHACIN CR 75 MG OR CPCR,indomethacin cr,1178663
INDOMETHACIN CR 75 MG OR CPCR,mg or cpcr,
FILGRASTIM NEONATAL 300 MCG/ML INJECTION (UCI),filgrastim neonatal,1304850
FILGRASTIM NEONATAL 300 MCG/ML INJECTION (UCI),ml injection,
TACROLIMUS 4 MG PO TB24,tacrolimus,950637
TACROLIMUS 4 MG PO TB24,mg po tb,
SULFAMETHOXAZOLE-TRIMETHOPRIM (IN D5W 300 ML) IVPB (UCI),sulfamethoxazole,1836430
SULFAMETHOXAZOLE-TRIMETHOPRIM (IN D5W 300 ML) IVPB (UCI),trimethoprim,1705674
SULFAMETHOXAZOLE-TRIMETHOPRIM (IN D5W 300 ML) IVPB (UCI),ivpb,
"IC-GREEN, STANDARD DOSE W/ D50 OPHTHALMIC SOLUTION (OPTIME)",ic,
"IC-GREEN, STANDARD DOSE W/ D50 OPHTHALMIC SOLUTION (OPTIME)",green,
"IC-GREEN, STANDARD DOSE W/ D50 OPHTHALMIC SOLUTION (OPTIME)",standard dose w,
"IC-GREEN, STANDARD DOSE W/ D50 OPHTHALMIC SOLUTION (OPTIME)",ophthalmic solution,
APPLE CIDER VINEGAR 600 MG OR CAPS,apple cider vinegar,1337331
APPLE CIDER VINEGAR 600 MG OR CAPS,mg or caps,
PITAVASTATIN CALCIUM 4 MG PO TABS,pitavastatin calcium,40165636
OXCARBAZEPINE 300 MG/5ML OR SUSP,oxcarbazepine,718122
OXCARBAZEPINE 300 MG/5ML OR SUSP,or susp,
FINASTERIDE 1 MG OR TABS,finasteride,996416
BUPIVACAINE 0.5% PF INFUSION 400 ML - ON-Q PUMP (UCI),bupivacaine,732893
BUPIVACAINE 0.5% PF INFUSION 400 ML - ON-Q PUMP (UCI),pf infusion,
BUPIVACAINE 0.5% PF INFUSION 400 ML - ON-Q PUMP (UCI),on,
BUPIVACAINE 0.5% PF INFUSION 400 ML - ON-Q PUMP (UCI),q pump,
RAMELTEON 8 MG OR TABS,ramelteon,781182
QUININE SULFATE 324 MG OR CAPS,quinine sulfate,1760616
QUININE SULFATE 324 MG OR CAPS,mg or caps,
LEVOCARNITINE 330 MG OR TABS,levocarnitine,1553610
CARIPRAZINE HCL 6 MG PO CAPS,cariprazine hcl,35603277
CARIPRAZINE HCL 6 MG PO CAPS,mg po caps,
FUROSEMIDE 10 MG OR TABS (HALF TABLET),furosemide,956874
CEFTRIAXONE IV 100 MG/ML,ceftriaxone iv,1777806
FILGRASTIM-SNDZ 480 MCG IVPB (UCI),filgrastim,1304850
FILGRASTIM-SNDZ 480 MCG IVPB (UCI),sndz,
FILGRASTIM-SNDZ 480 MCG IVPB (UCI),mcg ivpb,
DACARBAZINE CHEMO INFUSION (UCI),dacarbazine chemo infusion,1311409
gabapentin (NEURONTIN) 300 MG capsule  - ADS OVERRIDE,gabapentin,797399
gabapentin (NEURONTIN) 300 MG capsule  - ADS OVERRIDE,mg capsule,
BUPRENORPHINE HCL 8 MG SL SUBL,buprenorphine hcl,1133201
BUPRENORPHINE HCL 8 MG SL SUBL,mg sl subl,
ROMIPLOSTIM 500 MCG SC SOLR,romiplostim,19032407
ROMIPLOSTIM 500 MCG SC SOLR,mcg sc solr,
fentaNYL 250 MCG/5ML injection  - ADS OVERRIDE,fentanyl,1154029
fentaNYL 250 MCG/5ML injection  - ADS OVERRIDE,injection,
NICARDIPINE PED 0.5 MG/ML INFUSION >45 KG (UCI),nicardipine ped,1318137
THIORIDAZINE HCL 25 MG OR TABS,thioridazine hcl,700299
SULFADIAZINE 500 MG OR TABS,sulfadiazine,1836391
MILTEFOSINE 50 MG PO CAPS,miltefosine,44816310
MILTEFOSINE 50 MG PO CAPS,mg po caps,
NORGESTIMATE-ETH ESTRADIOL 0.25-35 MG-MCG OR TABS,norgestimate,1515774
NORGESTIMATE-ETH ESTRADIOL 0.25-35 MG-MCG OR TABS,eth estradiol,
NORGESTIMATE-ETH ESTRADIOL 0.25-35 MG-MCG OR TABS,mg,
NORGESTIMATE-ETH ESTRADIOL 0.25-35 MG-MCG OR TABS,mcg or tabs,
PENTAMIDINE ISETHIONATE IVPB (UCI),pentamidine isethionate ivpb,1730370
ACETYLCYSTEINE (THIRD DOSE) IV INFUSION (UCI),acetylcysteine,1139042
ACETYLCYSTEINE (THIRD DOSE) IV INFUSION (UCI),iv infusion,
VINBLASTINE CHEMO INFUSION (UCI),vinblastine chemo infusion,19008264
SODIUM CHLORIDE 23.4% IVPB (UCI),sodium chloride,967823
SODIUM CHLORIDE 23.4% IVPB (UCI),ivpb,
PARAGARD INTRAUTERINE COPPER IU IUD,paragard intrauterine copper iu iud,
HEPATITIS A-HEP B RECOMB VAC 720-20 ELU-MCG/ML IM WRAPPED RECORD,hepatitis a,
HEPATITIS A-HEP B RECOMB VAC 720-20 ELU-MCG/ML IM WRAPPED RECORD,hep b recomb vac,
HEPATITIS A-HEP B RECOMB VAC 720-20 ELU-MCG/ML IM WRAPPED RECORD,elu,
HEPATITIS A-HEP B RECOMB VAC 720-20 ELU-MCG/ML IM WRAPPED RECORD,mcg,
HEPATITIS A-HEP B RECOMB VAC 720-20 ELU-MCG/ML IM WRAPPED RECORD,ml im wrapped record,
MAGNESIUM CITRATE 1.745 GM/30ML OR SOLN,magnesium citrate,967861
CISATRACURIUM BESYLATE (PF) 200 MG/20ML IV SOLN,cisatracurium besylate,19015726
HYDROCORTISONE NA SUCCINATE PF 250 MG IJ SOLR,hydrocortisone na succinate pf,975125
ACETYLCYSTEINE (LOADING DOSE) IV INFUSION (UCI),acetylcysteine,1139042
ACETYLCYSTEINE (LOADING DOSE) IV INFUSION (UCI),iv infusion,
PENICILLIN G BENZATHINE 1200000 UNIT/2ML IM SUSP,penicillin g benzathine,1728416
PENICILLIN G BENZATHINE 1200000 UNIT/2ML IM SUSP,unit,
PENICILLIN G BENZATHINE 1200000 UNIT/2ML IM SUSP,im susp,
RIZATRIPTAN BENZOATE 10 MG OR TABS,rizatriptan benzoate,1154077
AMIFOSTINE 500 MG IV SOLR,amifostine,1350040
AMIFOSTINE 500 MG IV SOLR,mg iv solr,
AMPICILLIN 500 MG OR CAPS,ampicillin,1717327
AMPICILLIN 500 MG OR CAPS,mg or caps,
PAROXETINE HCL 25 MG OR TB24,paroxetine hcl,722031
PAROXETINE HCL 25 MG OR TB24,mg or tb,
TEMAZEPAM 7.5 MG OR CAPS,temazepam,836715
TEMAZEPAM 7.5 MG OR CAPS,mg or caps,
DICLOFENAC SODIUM 25 MG OR TBEC,diclofenac sodium,1124300
FLUTICASONE-UMECLIDIN-VILANT 100-62.5-25 MCG/INH IN AEPB,fluticasone,1149380
FLUTICASONE-UMECLIDIN-VILANT 100-62.5-25 MCG/INH IN AEPB,umeclidin,
FLUTICASONE-UMECLIDIN-VILANT 100-62.5-25 MCG/INH IN AEPB,vilant,
FLUTICASONE-UMECLIDIN-VILANT 100-62.5-25 MCG/INH IN AEPB,inh in aepb,
ENTECAVIR 0.05 MG/ML OR SOLN,entecavir,1711246
ENTECAVIR 0.05 MG/ML OR SOLN,ml or soln,
ACETYLCYSTEINE (SECOND DOSE) IV INFUSION (UCI),acetylcysteine,1139042
ACETYLCYSTEINE (SECOND DOSE) IV INFUSION (UCI),iv infusion,
MEXILETINE HCL 150 MG OR CAPS,mexiletine hcl,1307542
MEXILETINE HCL 150 MG OR CAPS,mg or caps,
PREGABALIN 25 MG OR CAPS,pregabalin,734354
PREGABALIN 25 MG OR CAPS,mg or caps,
NOREPINEPHRINE-DEXTROSE 16-5 MG/250ML-% IV SOLN,norepinephrine,1321341
NOREPINEPHRINE-DEXTROSE 16-5 MG/250ML-% IV SOLN,dextrose,
amLODIPINE (NORVASC) 5 MG tablet  - ADS OVERRIDE,amlodipine,1332418
amLODIPINE (NORVASC) 5 MG tablet  - ADS OVERRIDE,mg tablet,
VENLAFAXINE HCL 25 MG OR TABS,venlafaxine hcl,743670
SODIUM THIOSULFATE IV CALCIPHYLAXIS,sodium thiosulfate iv calciphylaxis,19136048
TRIHEXYPHENIDYL HCL 5 MG OR TABS,trihexyphenidyl hcl,705178
EFAVIRENZ 200 MG OR CAPS,efavirenz,1738135
EFAVIRENZ 200 MG OR CAPS,mg or caps,
EMTRICITABINE-TENOFOVIR 200-300 MG OR TABS,emtricitabine,1703069
EMTRICITABINE-TENOFOVIR 200-300 MG OR TABS,tenofovir,19011093
CLARITHROMYCIN 250 MG OR TABS,clarithromycin,1750500
DILTIAZEM HCL COATED BEADS 300 MG OR CP24,diltiazem hcl coated beads,1328165
DILTIAZEM HCL COATED BEADS 300 MG OR CP24,mg or cp,
CHOLINE FENOFIBRATE 135 MG PO CPDR,choline fenofibrate,43560137
CHOLINE FENOFIBRATE 135 MG PO CPDR,mg po cpdr,
DALFAMPRIDINE ER 10 MG PO TB12,dalfampridine er,40170680
DALFAMPRIDINE ER 10 MG PO TB12,mg po tb,
GLATIRAMER ACETATE 40 MG/ML SC SOSY,glatiramer acetate,751889
GLATIRAMER ACETATE 40 MG/ML SC SOSY,ml sc sosy,
RUFINAMIDE 400 MG PO TABS,rufinamide,19006586
PERAMPANEL 12 MG PO TABS,perampanel,42904177
DESMOPRESSIN ACE SPRAY REFRIG 0.01 % NA SOLN,desmopressin ace spray refrig,1517070
DESMOPRESSIN ACE SPRAY REFRIG 0.01 % NA SOLN,na soln,
CEFTAZIDIME-AVIBACTAM IVPB 0.94 G (UCI),ceftazidime,1776684
CEFTAZIDIME-AVIBACTAM IVPB 0.94 G (UCI),avibactam ivpb,46221507
FONDAPARINUX SODIUM 2.5 MG/0.5ML SC SOLN,fondaparinux sodium,1315865
CEFTAZIDIME-AVIBACTAM IVPB 2.5 G (UCI),ceftazidime,1776684
CEFTAZIDIME-AVIBACTAM IVPB 2.5 G (UCI),avibactam ivpb,46221507
ALISKIREN FUMARATE 150 MG OR TABS,aliskiren fumarate,1317967
DROSPIRENONE-ETHINYL ESTRADIOL 3-0.02 MG OR TABS,drospirenone,1512674
DROSPIRENONE-ETHINYL ESTRADIOL 3-0.02 MG OR TABS,ethinyl estradiol,1549786
PERPHENAZINE 8 MG OR TABS,perphenazine,733008
NALTREXONE-BUPROPION HCL ER 8-90 MG PO TB12,naltrexone,1714319
NALTREXONE-BUPROPION HCL ER 8-90 MG PO TB12,bupropion hcl er,750982
NALTREXONE-BUPROPION HCL ER 8-90 MG PO TB12,mg po tb,
NETARSUDIL DIMESYLATE 0.02 % OP SOLN,netarsudil dimesylate,793351
NETARSUDIL DIMESYLATE 0.02 % OP SOLN,op soln,
VALSARTAN-HYDROCHLOROTHIAZIDE 160-12.5 MG OR TABS,valsartan,1308842
VALSARTAN-HYDROCHLOROTHIAZIDE 160-12.5 MG OR TABS,hydrochlorothiazide,974166
INSULIN GLARGINE-LIXISENATIDE 100-33 UNT-MCG/ML SC SOPN,insulin glargine,1502905
INSULIN GLARGINE-LIXISENATIDE 100-33 UNT-MCG/ML SC SOPN,lixisenatide,44506754
INSULIN GLARGINE-LIXISENATIDE 100-33 UNT-MCG/ML SC SOPN,unt,
INSULIN GLARGINE-LIXISENATIDE 100-33 UNT-MCG/ML SC SOPN,mcg,
INSULIN GLARGINE-LIXISENATIDE 100-33 UNT-MCG/ML SC SOPN,ml sc sopn,
